behavior_cluster,top_behavioral_themes,gender_imputed,age_imputed,religion_imputed,ethnicity_imputed,cluster_name,persona_summary
0,"months, political, last, over, spend, family, year, single",Female,25 - 34,__MISSING__,__MISSING__,Monthly-Political Spenders,A 25-34-year-old female with an active credit usage and high equity balance resides in the household. Religion and ethnicity are unknown.
0,"months, political, last, over, spend, family, year, single",Female,45 - 54,__MISSING__,__MISSING__,Monthly-Political Spenders,"A single, college-educated individual resides in a USA household, with a net worth between $250,000 and $499,999. This individual is a near prime to prime consumer, actively using credit, and holds a high equity balance. They are known to have discretionary spend of $5 and have responded to mail within the last 24 months."
0,"months, political, last, over, spend, family, year, single",Female,55 - 64,Protestant,Caucasian|Western European,Monthly-Political Spenders,"A professional, net worth $100,000 to $249,999, and residing in a household with at least one active responder to mail solicitations, demonstrates a low auto debt profile and supports various political causes and charitable causes, with a wealth rating in the fourth decile."
0,"months, political, last, over, spend, family, year, single",Female,55 - 64,Protestant,Western European|Caucasian,Monthly-Political Spenders,"A 55-64 year old woman from the USA, with a Protestant faith and Western European/Caucasian ethnicity, typically exhibits financially responsible behaviors. Her preferences lean towards traditional values and established brands."
0,"months, political, last, over, spend, family, year, single",Female,55 - 64,__MISSING__,__MISSING__,Monthly-Political Spenders,"A near prime to prime, college-educated single family in the USA, with a net worth between $250,000 and $499,999, actively uses credit and has a high disposable income. This demographic, residing in the fourth decile of wealth, primarily utilizes mobile and tablet devices."
0,"months, political, last, over, spend, family, year, single",Female,65 - 74,Protestant,Caucasian|Western European,Monthly-Political Spenders,"A 65-74 year old Caucasian/Western European female, living in the USA and practicing Protestantism, falls into a behavioral segment with a net worth between $50,000 and $99,999. She is a professional with a low number of active open auto loans and a wealth rating in the second decile."
0,"months, political, last, over, spend, family, year, single",Female,65 - 74,Protestant,Western European|Caucasian,Monthly-Political Spenders,"A 65-74 year-old woman, a Protestant with Western European or Caucasian ethnicity, resides in the USA and has recently responded to mail within the last 24 months."
0,"months, political, last, over, spend, family, year, single",Female,65 - 74,__MISSING__,__MISSING__,Monthly-Political Spenders,"A 65-74 year old female resides in the USA with a net worth between $100,000 and $249,999. No religion or ethnicity information is available. She has recently engaged with mail offers."
0,"months, political, last, over, spend, family, year, single",Female,75+,Protestant,Caucasian|Western European,Monthly-Political Spenders,"A 75-year-old Caucasian woman of Western European descent, with a net worth exceeding $499,999 and identified as a professional, holds a wealth rating in the sixth decile. She is a Protestant female, aged 75 or above, and her spending falls between $200,001 and $400,000. This demographic is characterized by someone in the household having engaged in financial activities within the last 24 months."
0,"months, political, last, over, spend, family, year, single",Female,75+,Protestant,Western European|Caucasian,Monthly-Political Spenders,"An elderly single family head, with a low discretionary spend of $5 and a net worth between $100,000 and $249,999, falls into the lowest average credit score decile (Sub Prime - 1st Quartile). This individual has a relatively low wealth rating and a modest home value, ranging from $400,001 to $600,001, with the fewest active open auto loan members."
0,"months, political, last, over, spend, family, year, single",Female,75+,__MISSING__,__MISSING__,Monthly-Political Spenders,"A 75-year-old female, religiously affiliated, heads the household and holds a graduate degree. She is a Near Prime to Prime borrower, lien-free, and a primary decision-maker with a net worth exceeding $499,999."
0,"months, political, last, over, spend, family, year, single",Male,25 - 34,__MISSING__,__MISSING__,Monthly-Political Spenders,"A single, high school-educated individual resides in a household with a net worth under $1 and discretionary spending of $3. They have a low number of active open auto loans, support various political causes, and consume fast food frequently, dining out 14 or more times in the last 30 days. Their credit status falls within the Sub Prime to Near Prime - 2nd Quartile."
0,"months, political, last, over, spend, family, year, single",Male,45 - 54,__MISSING__,__MISSING__,Monthly-Political Spenders,"A 45-54-year-old American male, with religion and ethnicity undisclosed, is a member of a group characterized by someone in the household having responded to mail within the last 24 months."
0,"months, political, last, over, spend, family, year, single",Male,55 - 64,Protestant,Caucasian|Western European,Monthly-Political Spenders,"A 55-64 year-old Caucasian/Western European Protestant male, living in the USA, heads a single family unit in the third quartile of the Prime to Prime demographic. This household has engaged with mail within the past 24 months."
0,"months, political, last, over, spend, family, year, single",Male,55 - 64,__MISSING__,__MISSING__,Monthly-Political Spenders,"A 55-64-year-old male college graduate, with undisclosed religion and ethnicity, falls into the sixth decile of the net worth bracket, holding between $100,000 and $249,999."
0,"months, political, last, over, spend, family, year, single",Male,65 - 74,Protestant,Caucasian|Western European,Monthly-Political Spenders,"A 65- to 74-year-old Caucasian male, holding a blue-collar job and Protestant in faith, resides in a household with a net worth between $100,000 and $249,999. This demographic is characterized by having engaged in financial communication within the past 24 months, demonstrating a moderately transparent approach to wealth management."
0,"months, political, last, over, spend, family, year, single",Male,65 - 74,Protestant,Western European|Caucasian,Monthly-Political Spenders,"This group consists of high-spending, credit-active individuals in the third quartile, with some college education and other ethnicities. Their discretionary spend is $4, and they have a net worth between $250,000 and $499,999, placing them in the third decile of the wealth rating. Owners of this household have the lowest number of active open auto loans and primarily use mobile and tablet devices."
0,"months, political, last, over, spend, family, year, single",Male,65 - 74,__MISSING__,__MISSING__,Monthly-Political Spenders,"A single, elderly American resides in a household with a college-educated head and a net worth between $50,000 and $99,999. This individual is tech-savvy and frequently uses Connected TV, mobile, and tablet devices. As a near prime to prime borrower, they have the highest auto loan balance and have demonstrated consistent credit behavior."
0,"months, political, last, over, spend, family, year, single",Male,75+,__MISSING__,__MISSING__,Monthly-Political Spenders,"A high net worth individual, residing in the USA, with a net worth between $200,000 and $400,000, and a wealth rating in the 4th decile, is our persona. This person has recently engaged with marketing communications."
1,"months, family, single, spend, over, year, prime, political",Female,25 - 34,__MISSING__,__MISSING__,Yearly Prime Spenders,"A 25-34 year old female, living in a single family household with a net worth of $10,000 to $24,999, is part of a group identified by their recent responsiveness to mail. Religion and ethnicity are unknown."
1,"months, family, single, spend, over, year, prime, political",Female,35 - 44,__MISSING__,__MISSING__,Yearly Prime Spenders,"A 35-44 year-old Female, whose household has engaged with mail within the past 24 months, lacks specified religious and ethnic identities."
1,"months, family, single, spend, over, year, prime, political",Female,45 - 54,__MISSING__,__MISSING__,Yearly Prime Spenders,"A 45-54 year old female resides in the USA with a net worth between $10,000 and $24,999. This professional earns between $100,001 and $200,000 and is in the second wealth decile. Religion and ethnicity are unknown."
1,"months, family, single, spend, over, year, prime, political",Female,55 - 64,__MISSING__,__MISSING__,Yearly Prime Spenders,"A single, high net worth professional with a high school education and a discretionary spend of $4,000 or more resides in a high-income, single family household. This individual holds a prime to super prime credit score, indicating a high creditworthiness and a significant reliance on credit. Their net worth exceeds $499,999."
1,"months, family, single, spend, over, year, prime, political",Female,65 - 74,Protestant,Caucasian|Western European,Yearly Prime Spenders,A 65-74 year-old Caucasian/Western European Protestant woman falls into the Sub Prime to Near Prime - 2nd Quartile Single Family segment.
1,"months, family, single, spend, over, year, prime, political",Female,65 - 74,Protestant,Western European|Caucasian,Yearly Prime Spenders,"A 3rd decile household, headed by an individual with recent mail engagement, holds a net worth between $25,000 and $200,000."
1,"months, family, single, spend, over, year, prime, political",Female,65 - 74,__MISSING__,__MISSING__,Yearly Prime Spenders,"A single, elderly person with some college education and high equity balance resides in a household worth between $100,000 and $300,000. They have a net worth between $50,000 and $200,000 and support various political causes. Their discretionary spending is moderate."
1,"months, family, single, spend, over, year, prime, political",Female,75+,Protestant,Western European|Caucasian,Yearly Prime Spenders,"A 75-year-old female with Western European/Caucasian ethnicity and Protestant religion, living in the household, has engaged with mail within the past 24 months. She exhibits this behavioral trait."
1,"months, family, single, spend, over, year, prime, political",Female,75+,__MISSING__,__MISSING__,Yearly Prime Spenders,"A single family of 75 years old or above, headed by a female member, actively engages with mail communications. (Religion and ethnicity are unknown.)"
1,"months, family, single, spend, over, year, prime, political",Male,45 - 54,__MISSING__,__MISSING__,Yearly Prime Spenders,"A 24-month credit active USA household, characterized by a low equity balance, falls into the Up & Coming Consumers group."
1,"months, family, single, spend, over, year, prime, political",Male,55 - 64,__MISSING__,__MISSING__,Yearly Prime Spenders,"A 55-64-year-old American male, part of a blue-collar household, has a net worth between $100,000 and $249,999, and has engaged in recent financial transactions. Religion and ethnicity are unknown."
1,"months, family, single, spend, over, year, prime, political",Male,65 - 74,__MISSING__,__MISSING__,Yearly Prime Spenders,"A male aged 65-74, with a net worth of $250,000 to $499,999 and the lowest number of active open auto loans, falls into a behavioral cluster characterized by someone in the household having responded to mail within the last 24 months. This group has a wealth rating in the first decile, with a net worth between $400,001 and $600,001. Religion and ethnicity are unknown."
1,"months, family, single, spend, over, year, prime, political",Male,75+,__MISSING__,__MISSING__,Yearly Prime Spenders,"A high net worth professional, residing in the USA, with a wealth rating in the 7th decile and a net worth exceeding $800,001, frequently engages with mail communications."
2,"family, single, over, year, months, prime, high, loan",Female,18 - 24,__MISSING__,Caucasian,Family Prime Borrowers,"A young adult single household in the USA, with a low credit score in the subprime first quartile, holds a high equity balance and has the lowest number of active open auto loans but the highest auto loan balance. This group, worth between $400,001 and $600,001, is relatively new to credit and supports various political causes. They primarily use mobile and tablet devices."
2,"family, single, over, year, months, prime, high, loan",Female,18 - 24,__MISSING__,__MISSING__,Family Prime Borrowers,"This group consists of young adult, single family homeowners with near prime to prime credit, earning a high income of $400,001 to $600,000. They are moderate users of credit and have the highest auto loan balance among all clusters. Despite their income, they maintain a low number of active open auto loans, and their insurance expirations vary from 1 to 3 months or 6 to 9 months. This demographic is also characterized by high card spending."
2,"family, single, over, year, months, prime, high, loan",Female,25 - 34,__MISSING__,__MISSING__,Family Prime Borrowers,"A single, low-income American in the lowest credit quartile resides in a household with high equity and multiple active auto loans. They are relatively new to credit and use connected TV and mobile devices. Their insurance expiration dates are due within 9 to 12 months."
2,"family, single, over, year, months, prime, high, loan",Female,35 - 44,__MISSING__,__MISSING__,Family Prime Borrowers,"This group consists of single, established consumers aged between $200,001 and $400,000, with no liens and insurance expirations approaching. They are primarily low credit card spenders experiencing a decrease in year-over-year spending, falling into the sub-prime to near-prime category with moderate credit usage."
2,"family, single, over, year, months, prime, high, loan",Female,45 - 54,__MISSING__,__MISSING__,Family Prime Borrowers,"This group consists of established consumers, mostly male and aged between 45 and 60, with a net worth of $400,001 to $600,000. They have a moderate use of credit and fall into the Sub Prime to Near Prime category with a low number of active open auto loans. Their spending behavior shows an increase over the past year but a decrease in the last three months."
2,"family, single, over, year, months, prime, high, loan",Female,55 - 64,__MISSING__,__MISSING__,Family Prime Borrowers,"This USA-based individual, a blue-collar worker, resides in a single family household and falls into the eighth decile of wealth. With a discretionary spend of $3, they utilize mobile and tablet devices. Politically engaged, they earn between $75,001 and $100,000 annually and have a high equity balance."
2,"family, single, over, year, months, prime, high, loan",Female,65 - 74,__MISSING__,__MISSING__,Family Prime Borrowers,"A 50,001 to 75,000 income single family household, headed by a college-educated elderly person with open liens and elderly parents, falls into the low equity balance, established consumer group. They have a moderate credit usage and a lowest number of active open auto loans. This group experiences a year-over-year spend decrease and uses cards for transactions. (USA, Sub Prime to Near Prime - 2nd Quartile, Single Family, College Graduates, Elderly Parent, Lowest Number of Active Open Auto Loans, MOBILE, Year-Over-Year Spend Decrease, Card Spenders)"
2,"family, single, over, year, months, prime, high, loan",Female,75+,__MISSING__,__MISSING__,Family Prime Borrowers,"A single, high-income individual resides in a USA single family home. With a prime to super prime credit score in the highest quartile, this lien-free homeowner is a new credit user and primary decision-maker. Their annual income ranges from $200,001 to $400,000, and they have the fewest active open auto loans. This individual exhibits low credit card spending behavior."
2,"family, single, over, year, months, prime, high, loan",Male,18 - 24,__MISSING__,Caucasian,Family Prime Borrowers,"This young adult single family household, with an income between $200,001 and $400,001, holds a moderate credit usage profile and falls into the Sub Prime to Near Prime - 2nd Quartile segment. They have the lowest number of active open auto loans and auto loan balance. Politically, they support conservative causes."
2,"family, single, over, year, months, prime, high, loan",Male,18 - 24,__MISSING__,__MISSING__,Family Prime Borrowers,"A 2nd quartile Established Consumer is a single family head, aged and educated enough for some college, with a net worth under $1 and a wealth rating in the 3rd decile. This individual, of any ethnicity or religion, spends discretionally between $1- $25,000 and falls into the sub-prime to near prime credit category with a low equity balance."
2,"family, single, over, year, months, prime, high, loan",Male,25 - 34,__MISSING__,__MISSING__,Family Prime Borrowers,"A single, up-and-coming consumer group resides in the USA. With a low average credit score placing them in the sub-prime first quartile, they manage a household income between $200,001 and $400,000. Owners of single-family dwellings, they have the fewest active open auto loans. This tech-savvy demographic engages with connected TV, mobile, and tablet devices. Insurance expirations occur every 9 to 12 months for this group."
2,"family, single, over, year, months, prime, high, loan",Male,35 - 44,__MISSING__,__MISSING__,Family Prime Borrowers,"A single, net worth-rich ( $200,001 - $400,000) Central resident, aged into the Near Prime to Prime demographic (3rd quartile), holds a net worth between $50,000 and $99,999. This individual, of any ethnicity, identifies with the Equity Balance High and Single Family dwelling category. They dine out at fast food establishments 6-13 times per month and allow their insurance policies to expire within the 9-12 month range. This persona frequently shops online at carrier stores such as AT&T. Their religious beliefs and gender are not specified in this data."
2,"family, single, over, year, months, prime, high, loan",Male,45 - 54,__MISSING__,Hispanic,Family Prime Borrowers,"This single, low-income family, with an established consumption pattern, falls into the sub-prime credit category, holding the lowest average score. They are high auto loan balancers and heavy card spenders, despite a recent decrease in year-over-year spending. Their ethnicity and religious beliefs are unknown."
2,"family, single, over, year, months, prime, high, loan",Male,45 - 54,__MISSING__,__MISSING__,Family Prime Borrowers,"This group consists of single, relatively new credit users in the Sub Prime to Near Prime category, aged 25-34. They have a high equity balance and the lowest number of active open auto loans, yet the highest auto loan balances. This ethnically diverse group is politically active and predominantly uses mobile devices."
2,"family, single, over, year, months, prime, high, loan",Male,55 - 64,__MISSING__,__MISSING__,Family Prime Borrowers,"This group consists of established consumers, primarily single family households, with moderate credit usage and an annual income of $200,001 to $400,000. They lean conservative politically and have experienced a year-over-year decrease in spending."
2,"family, single, over, year, months, prime, high, loan",Male,65 - 74,__MISSING__,__MISSING__,Family Prime Borrowers,"This small business owner, aged between 40 and 60, is a high-income individual with a net worth of $200,001 to $400,000. They are politically active, contributing to various causes. This ethnicity group frequents fast food restaurants more than 14 times and family restaurants 6-13 times per month. Physically, they are car owners with a low combined loan-to-value ratio, and they hold a carrier store affiliation."
3,"over, year, prime, months, spend, credit, that, consumers",Female,25 - 34,__MISSING__,Hispanic,Prime Spenders & Credit Users,"A 25-34-year-old Hispanic woman falls into the Established Consumer category, utilizing moderate credit usage."
3,"over, year, prime, months, spend, credit, that, consumers",Female,25 - 34,__MISSING__,__MISSING__,Prime Spenders & Credit Users,"A 25-34 year old female makes up this consumer group, defined as Up & Coming Consumers, who are new to credit use. Their religious and ethnic identities are unknown."
3,"over, year, prime, months, spend, credit, that, consumers",Female,35 - 44,__MISSING__,__MISSING__,Prime Spenders & Credit Users,"This professional group, primarily composed of college graduates new to credit, exhibits a low number of active open auto loans and frequent fast food consumption, with insurance expirations ranging from 6 to 12 months. Their spending behavior shows a significant year-over-year increase over the past three months. Ethnicity and religious affiliations are not provided."
3,"over, year, prime, months, spend, credit, that, consumers",Female,45 - 54,__MISSING__,__MISSING__,Prime Spenders & Credit Users,"This USA-based group consists of established consumers, primarily decision-makers in their households. They fall into the second quartile of Sub Prime to Near Prime credit category. This demographic uses credit moderately, has the fewest active open auto loans, and frequently uses mobile and tablet devices. Their regular purchases include Twinings tea. Insurance expirations for this group range from three to twelve months overdue, and they have experienced a year-over-year decrease in spending."
3,"over, year, prime, months, spend, credit, that, consumers",Male,18 - 24,__MISSING__,__MISSING__,Prime Spenders & Credit Users,"Male consumers aged 18-24 form this group, characterized as new credit users with missing data on religion and ethnicity."
3,"over, year, prime, months, spend, credit, that, consumers",Male,25 - 34,__MISSING__,Caucasian,Prime Spenders & Credit Users,"A 3rd quartile single family household, identified as a Thriving Consumer, exhibits high spending and frequent credit usage. They have a near prime to prime credit score and carry the lowest number of active open auto loans. Their insurance expirations range from 1 to 9 months overdue. This group is characterized by high card spending and a year-over-year decrease in spending over three months."
3,"over, year, prime, months, spend, credit, that, consumers",Male,25 - 34,__MISSING__,Hispanic,Prime Spenders & Credit Users,"A 25-34-year-old Hispanic male falls into the Up & Coming Consumers category. New to credit, he contributes over $50 to charities annually, with religious and ethnic backgrounds identified as Hispanic."
3,"over, year, prime, months, spend, credit, that, consumers",Male,25 - 34,__MISSING__,__MISSING__,Prime Spenders & Credit Users,"This group consists of individuals, primarily decision-makers, who are active credit users with the lowest average credit scores in the Sub Prime - 1st Quartile category. They have a history of known sales and exhibit the lowest auto loan balances. Their insurance expirations are approaching, and they have experienced a decrease in year-over-year spending."
3,"over, year, prime, months, spend, credit, that, consumers",Male,35 - 44,__MISSING__,__MISSING__,Prime Spenders & Credit Users,"This group consists of high-spending individuals with a primary decision-making role and a credit score in the top quartile (8th decile). They exhibit an annual spend increase and are avid users of credit cards. (Discretionary spend: 5, Wealth Rating: 8th decile)"
3,"over, year, prime, months, spend, credit, that, consumers",Male,45 - 54,__MISSING__,__MISSING__,Prime Spenders & Credit Users,"This group consists of US consumers in the Up & Coming segment, characterized by being new to credit and having Sub Prime to Near Prime credit scores. They are tech-savvy, frequently using mobile and tablet devices. Over the past year, they have experienced a decrease in spending."
3,"over, year, prime, months, spend, credit, that, consumers",Male,65 - 74,__MISSING__,__MISSING__,Prime Spenders & Credit Users,"this group consists of blue-collar individuals with a high average credit score in the fifth decile, making them prime to super prime consumers. They hold some college education, act as primary decision-makers, and frequently purchase Twinings tea and French's products, while identifying as registered Republicans. Their spending behavior is marked by high expenditures and regular use of credit."
4,"over, year, months, spend, last, store, etc, prime",Female,25 - 34,__MISSING__,__MISSING__,Confidence 95,"A 30-something, single US resident with some college education and a discretionary spending level of $3,000 resides in the Sub Prime to Near Prime income bracket. This individual is a primary decision-maker, owns a mobile and tablet device, and has a low number of active open auto loans. They frequently eat fast food, with 14 or more instances in the last 30 days, and their insurance policies are due for renewal within 6 to 12 months."
4,"over, year, months, spend, last, store, etc, prime",Female,35 - 44,__MISSING__,__MISSING__,Confidence 95,"A 40-year-old American, college-educated individual resides in the Second Quartile of the Sub Prime to Near Prime credit tier. This person, who serves as the primary decision-maker in their household, has a net worth under $1 and holds fewer than the average number of active open auto loans. They frequently dine at fast food restaurants more than 14 times a month and occasionally visit family restaurants. Their spending behavior reflects discretionary spending of $4, and they primarily use mobile and tablet devices."
4,"over, year, months, spend, last, store, etc, prime",Female,45 - 54,__MISSING__,__MISSING__,Confidence 95,"This USA-based consumer, a new credit user in the Sub Prime - 1st Quartile group, is a primary decision-maker with a discretionary spend of $4 and a wealth rating in the 7th decile. They have the highest auto loan balance and number of active open auto loans. Their technology usage includes mobile and tablet devices, and they consume fast food more than 14 times and family restaurant more than 3 times in the last 30 days."
4,"over, year, months, spend, last, store, etc, prime",Female,55 - 64,__MISSING__,__MISSING__,Confidence 95,"A single, US-based individual from the lowest credit score quartile (Sub Prime) in the SFDU demographic, holds a net worth between $1 and $4,999, owns few active open auto loans, frequently uses mobile and tablet devices, and prefers Regular Tea brand from Twinings. Insurance expiration dates are often overlooked, falling between 9 and 12 months."
4,"over, year, months, spend, last, store, etc, prime",Male,25 - 34,__MISSING__,__MISSING__,Confidence 95,"This single, up-and-coming consumer group, aged below average with a low credit score in the sub-prime first quartile, is ethnically diverse and lien-free. Their annual income ranges from $100,001 to $200,000. They dine at fast food restaurants one to five times a month, and their insurance policies expire between 6 and 12 months after purchase."
4,"over, year, months, spend, last, store, etc, prime",Male,35 - 44,__MISSING__,__MISSING__,Confidence 95,"A 2nd quartile, single, high school educated individual in the USA, residing in a sub-prime to near prime household, has a history of infrequent credit use, owns a tablet, and supports multiple political causes. This group is known for eating fast food over 14 times and family restaurants over 6 times in the last month, and has an insurance expiration date."
4,"over, year, months, spend, last, store, etc, prime",Male,45 - 54,__MISSING__,__MISSING__,Confidence 95,"A 30-year-old Democratic college graduate with a low credit score in management holds the decision-making power. This individual is based in the USA, regularly consumes Bigelow and Celestial Seasonings teas, and favors Grey Poupon. They prefer mobile and tablet devices and primarily spend on their cards at carrier stores, showing a year-over-year decrease in spending."
5,"family, months, single, over, spend, year, that, the",Female,25 - 34,__MISSING__,__MISSING__,Monthly Overspenders,"A thriving, credit-active American household, headed by an individual who has recently engaged with mail offers, characterizes this consumer group."
5,"family, months, single, over, spend, year, that, the",Female,35 - 44,Protestant,Caucasian|Western European,Monthly Overspenders,"A single, professional US consumer in the lowest credit score quartile, residing in a single-family household, holds a high equity balance and is an established consumer with a moderate credit usage. Wealth rating places them in the fifth decile with an income between $200,001 and $400,000. They frequently use mobile and tablet devices and have the highest number of active open auto loans."
