behavior_cluster,top_behavioral_themes,gender_imputed,age_imputed,religion_imputed,ethnicity_imputed,cluster_name,persona_summary
5,"family, months, single, over, spend, year, that, the",Female,35 - 44,Protestant,Western European|Caucasian,Monthly Overspenders,"A 35-44 year-old woman, living in the USA and identified as Protestant and Caucasian, heads this household, which has recently interacted with mail within the past 24 months."
5,"family, months, single, over, spend, year, that, the",Female,35 - 44,__MISSING__,__MISSING__,Monthly Overspenders,"A single, near prime-to-prime graduate with a net worth between $100,000 and $249,999 resides in the USA. This professional, known for discretionary spending of $5, enjoys regular tea from Twinings and Celestial Seasonings. They utilize mobile devices, including tablets, and fall into the fifth decile of the wealth rating."
5,"family, months, single, over, spend, year, that, the",Female,45 - 54,Protestant,Caucasian|Western European,Monthly Overspenders,"A 30-year-old blue-collar American lives in a single-family home with a net worth under $1 and a low credit score in the sub-prime first quartile. This individual, who serves as the primary decision-maker, has some college education and has made open liens. With a discretionary spend of $3 and a wealth rating in the third decile, they have an income of approximately $100,001 or less."
5,"family, months, single, over, spend, year, that, the",Female,45 - 54,Protestant,Western European|Caucasian,Monthly Overspenders,"A 45-54 year-old woman, of Western European/Caucasian ethnicity and Protestant faith, is a member of the Thriving Consumers segment. She actively uses credit and has a high spending behavior."
5,"family, months, single, over, spend, year, that, the",Female,45 - 54,__MISSING__,__MISSING__,Monthly Overspenders,"A single, professional consumer residing in the USA falls into the Established Consumers segment. This group, with a wealth rating in the 9th decile and an income between $200,001 and $400,001, exhibits a high equity balance and uses credit moderately. They have a primary decision-making role, hold a professional occupation, and have the fewest active open auto loans. This demographic primarily uses mobile and tablet devices."
5,"family, months, single, over, spend, year, that, the",Female,55 - 64,Protestant,Caucasian|Western European,Monthly Overspenders,"A 3rd quartile Established Consumer, aged High School level, is a single family homeowner with a net worth between $100,000 and $249,999, and a wealth rating in the 8th decile. This individual is a near prime to prime borrower with a high equity balance and few active open auto loans."
5,"family, months, single, over, spend, year, that, the",Female,55 - 64,Protestant,Western European|Caucasian,Monthly Overspenders,"A high net worth American consumer, aged some college education and boasting a prime credit score, spends discretionarily with a net worth between $400,001 and $600,000. This individual, a primary decision maker, maintains an open lien and is an active user of credit with a high equity balance."
5,"family, months, single, over, spend, year, that, the",Female,55 - 64,__MISSING__,__MISSING__,Monthly Overspenders,"A single, near-prime to prime, graduate school graduate resides in the USA and holds a professional job. This individual, worth between $250,000 and $499,999, is an active credit user and spender, making discretionary decisions within their household, which boasts a net worth within this range."
5,"family, months, single, over, spend, year, that, the",Female,65 - 74,Protestant,Caucasian|Western European,Monthly Overspenders,"A single, college-educated individual resides in a USA household with a high credit score (Prime to Super Prime - 4th Quartile) and a net worth between $100,000 and $249,999. This person is the primary decision maker, holds discretionary spending power, and has a moderate credit usage history."
5,"family, months, single, over, spend, year, that, the",Female,65 - 74,Protestant,Western European|Caucasian,Monthly Overspenders,A 65-74 year old woman from the USA identifies as Protestant and is of Western European or Caucasian ethnicity. She is part of a behavioral cluster characterized by her preference for traditional values and a tendency to prioritize financial stability.
5,"family, months, single, over, spend, year, that, the",Female,65 - 74,__MISSING__,__MISSING__,Monthly Overspenders,"A 65-74 year-old female, living in a single family household, has recently engaged with mail correspondence. This group, with missing religion and ethnicity data, holds a low credit score."
5,"family, months, single, over, spend, year, that, the",Female,75+,__MISSING__,__MISSING__,Monthly Overspenders,"A 75-year-old female residing in the USA, practicing a specific religion and ethnicity, heads this group. Members are active credit users and have a high spending behavior."
5,"family, months, single, over, spend, year, that, the",Male,25 - 34,__MISSING__,__MISSING__,Monthly Overspenders,"A 25-34 year-old American male, with undisclosed religion and ethnicity, falls into the third decile wealth rating group, earning between $100,001 and $200,000, and holds the highest number of active open auto loans with the largest auto loan balances."
5,"family, months, single, over, spend, year, that, the",Male,35 - 44,Protestant,Caucasian|Western European,Monthly Overspenders,"A 3rd quartile single family household, headed by a near prime to prime adult with some college education, demonstrates moderate credit usage and a net worth between $50,000 and $99,999. This group has a discretionary spend level of 4 and a wealth rating in the 7th decile, recently experiencing a year-over-year decrease in spending."
5,"family, months, single, over, spend, year, that, the",Male,35 - 44,Protestant,Western European|Caucasian,Monthly Overspenders,"This single, established consumer earns a wealth rating between $100,001 and $200,000. They are moderate users of credit and have an auto loan balance at the higher end. This individual is a primary decision-maker in a single-family household and falls within the sub-prime to near-prime credit category. Their eating habits include eating fast food 6-13 times in the last 30 days."
5,"family, months, single, over, spend, year, that, the",Male,35 - 44,__MISSING__,__MISSING__,Monthly Overspenders,"A 40-year-old professional, living in the USA, holds a net worth between $50,000 and $99,999. This single family unit, with some college education, falls into the sub-prime to near prime credit category. As a discretionary spender, they have a moderate credit usage and a high auto loan balance, while maintaining a low number of active open accounts. Their wealth rating places them in the 9th decile."
5,"family, months, single, over, spend, year, that, the",Male,45 - 54,Protestant,Caucasian|Western European,Monthly Overspenders,"A 45-54 year-old Caucasian/Western European Protestant male in the USA is part of a behavioral segment. Known for responding to mail within the last 24 months, his preferences and lifestyle lean towards this demographic."
5,"family, months, single, over, spend, year, that, the",Male,45 - 54,Protestant,Western European|Caucasian,Monthly Overspenders,"A 45-54-year-old Protestant male of Western European or Caucasian ethnicity heads this household, regularly responding to mail within a 24-month period."
5,"family, months, single, over, spend, year, that, the",Male,45 - 54,__MISSING__,__MISSING__,Monthly Overspenders,"A 45-54-year-old American man, with religion and ethnicity undisclosed, heads a household of significant wealth. Their net worth exceeds $499,999, positioning them in the 9th decile of wealth rating. This group is financially well-off and actively engages with mail communications."
5,"family, months, single, over, spend, year, that, the",Male,55 - 64,Protestant,Caucasian|Western European,Monthly Overspenders,"A 55-64-year-old Caucasian Protestant male, living in the household, has engaged with mail within the past 24 months. This group holds a net worth between $250,000 and $499,999."
5,"family, months, single, over, spend, year, that, the",Male,55 - 64,Protestant,Western European|Caucasian,Monthly Overspenders,"A 30-year-old college graduate resides in the USA and falls into the Established Consumer category. As a single family homeowner in the Sub Prime to Near Prime income bracket, they hold a 9th decile wealth rating and possess the highest auto loan balance. This individual is a frequent user of mobile and tablet devices and has experienced a decrease in year-over-year spending over the past three months. Despite being a card spender, their creditworthiness is considered open and lien-free."
5,"family, months, single, over, spend, year, that, the",Male,55 - 64,__MISSING__,__MISSING__,Monthly Overspenders,"A single, near-prime to prime, high school graduate in the USA resides in a thriving consumer household. This individual, with a wealth rating in the third decile, actively uses credit and demonstrates high discretionary spend, while maintaining a low number of active open auto loans."
5,"family, months, single, over, spend, year, that, the",Male,65 - 74,Protestant,Caucasian|Western European,Monthly Overspenders,"A 65-74 year old Caucasian Protestant male, living in the USA, heads a household with a net worth between $250,000 and $600,000. He has engaged in recent financial transactions."
5,"family, months, single, over, spend, year, that, the",Male,65 - 74,Protestant,Western European|Caucasian,Monthly Overspenders,"Male homeowners aged 65-74, with a net worth exceeding $499,999, are active consumers in the USA. They identify as Protestant and are of Western European or Caucasian ethnicity. This group regularly engages with credit products and has a net worth response within the past 24 months."
5,"family, months, single, over, spend, year, that, the",Male,65 - 74,__MISSING__,__MISSING__,Monthly Overspenders,"A single, blue-collar US resident, aged high school or above, resides in a household with a net worth between $250,000 and $499,999, and has an equity balance high enough to qualify as up-and-coming consumers. This individual has demonstrated creditworthiness in the sub-prime to near-prime second quartile and has a history of discretionary spending totaling $6,000."
5,"family, months, single, over, spend, year, that, the",Male,75+,__MISSING__,__MISSING__,Monthly Overspenders,"A 75-year-old American man, with unknown religion and ethnicity, heads a wealthy single family (net worth exceeding $499,999)"
6,"over, year, months, family, single, spend, prime, high",Female,18 - 24,__MISSING__,__MISSING__,High Roller Prime Spenders,"A young adult, living in the USA, earns between $75,001 and $100,000, and is relatively new to credit with a low equity balance and a sub-prime credit score (1st quartile). This single household frequently visits family restaurants more than 6 times in a month and consumes fast food over 14 times. Insurance expiration dates fall between 9 and 12 months."
6,"over, year, months, family, single, spend, prime, high",Female,25 - 34,__MISSING__,__MISSING__,High Roller Prime Spenders,"A professional single family, primarily based in the USA, falls into the Established Consumers category. They have a moderate credit usage, a high equity balance, and a discretionary spend of $75,001 to $100,000. Their wealth rating places them in the 8th decile. This group is made up of individuals with insurance expirations ranging from 3 to 9 months."
6,"over, year, months, family, single, spend, prime, high",Female,35 - 44,__MISSING__,__MISSING__,High Roller Prime Spenders,"A 50-year-old American with a high school education and net worth under $1 serves as primary decision-maker for an established household. Their net worth places them in the first decile, and they have a low number of active open auto loans. This group, worth between $400,001 and $600,001, supports various political causes and uses mobile and tablet devices. Their credit rating falls within the sub-prime to near-prime range."
6,"over, year, months, family, single, spend, prime, high",Female,45 - 54,__MISSING__,__MISSING__,High Roller Prime Spenders,"This USA-based individual, a primary decision-maker with a low credit score in the Sub Prime - 1st Quartile, has an income between $100,001 and $200,000. They have the fewest active open auto loans and are lien-free. Their preferences include regular consumption of Celestial Seasonings tea and eating at family restaurants at least 6 times in the last 30 days, with 6-13 visits to fast food establishments. They use mobile and tablet devices."
6,"over, year, months, family, single, spend, prime, high",Female,55 - 64,__MISSING__,__MISSING__,High Roller Prime Spenders,"This group consists of high-earning, near-prime to prime singles or families, with a net worth between $400,001 and $600,001. They are moderate credit users, owning fewer than average active open auto loans. Their preferences lean towards Bigelow Tea and dining at family restaurants more than six times a month. Insurance expenditures are a part of their budget."
6,"over, year, months, family, single, spend, prime, high",Female,65 - 74,__MISSING__,__MISSING__,High Roller Prime Spenders,"This single, elderly consumer, part of the Up & Coming Consumers group, has a low average credit score and falls into the Sub Prime - 1st Quartile category. With a net worth between $100,001 and $200,000, they have the fewest active open auto loans but carry the highest auto loan balance. Their eating habits include eating fast food 6-13 times in the last 30 days, and their insurance is set to expire within the next 3-6 months."
6,"over, year, months, family, single, spend, prime, high",Female,75+,__MISSING__,__MISSING__,High Roller Prime Spenders,"This group consists of elderly college graduates, mostly single family units, with a wealth rating in the sixth decile and an income between $400,001 and $600,001. They are active credit users with high spending levels, yet have the lowest number of active open auto loans. Charitable donations exceeding $50 were made by this group in the last year."
6,"over, year, months, family, single, spend, prime, high",Male,18 - 24,__MISSING__,__MISSING__,High Roller Prime Spenders,"This young adult, a prime to super prime consumer with a high credit score and a six-figure income, frequently uses credit and has a low auto loan balance. Their spending habits include frequent purchases from brands like French's, Heinz, and Kraft."
6,"over, year, months, family, single, spend, prime, high",Male,25 - 34,__MISSING__,Caucasian,High Roller Prime Spenders,"This high-income, single family group consists of prime to super prime graduates with an average credit score in the fourth quartile. They are active credit users and have a high spending capacity, total assets of over $1,000,001, and the fewest active open auto loans."
6,"over, year, months, family, single, spend, prime, high",Male,25 - 34,__MISSING__,__MISSING__,High Roller Prime Spenders,"A 25-35 year-old, single, other ethnicity professional resides in the USA. With some college education, this individual is in the second quartile of the Sub Prime to Near Prime credit tier and has a net worth between $25,000 and $49,999. Discretionary spending amounts to $5,000 annually, and their wealth rating falls in the third decile. This up-and-coming consumer has a low credit history and a moderate income, earning between $100,001 and $200,000."
6,"over, year, months, family, single, spend, prime, high",Male,35 - 44,__MISSING__,__MISSING__,High Roller Prime Spenders,"This single, up-and-coming consumer is a high-earning individual, falling into the 6th decile wealth rating with an income between $100,001 and $200,000. They are relatively new to credit and have a high equity balance. With a low number of active open auto loans, they carry the highest auto loan balance. Their fast food consumption is moderate, eating out 1-5 times in the last 30 days. This tech-savvy individual frequently shops online at carrier stores like AT&T."
6,"over, year, months, family, single, spend, prime, high",Male,45 - 54,__MISSING__,__MISSING__,High Roller Prime Spenders,"A single, college-educated American resides in the highest credit score quartile, holding a lien-free or open lien status. This individual is a management professional with a discretionary spend of $6 and a wealth rating in the 8th decile. Their fast food consumption ranges from 6 to 13 times in the last 30 days."
6,"over, year, months, family, single, spend, prime, high",Male,55 - 64,__MISSING__,__MISSING__,High Roller Prime Spenders,"A 55-64-year-old American male, with unknown religion and ethnicity, falls into the Equity Balance High and Established Consumer category. He moderately uses credit."
6,"over, year, months, family, single, spend, prime, high",Male,65 - 74,__MISSING__,__MISSING__,High Roller Prime Spenders,"A high-spending, near prime to prime male consumer, aged 3rd quartile, earns between $200,001 and $400,000. He actively uses credit and donates over $50 to political causes annually. This group also consumes fast food 6-13 times in the last 30 days and lets their insurance expire within 1-3 months."
6,"over, year, months, family, single, spend, prime, high",Male,75+,__MISSING__,__MISSING__,High Roller Prime Spenders,"An elderly consumer, residing in the USA, falls into the Established Consumers category. With a household income between $100,001 and $200,000, this individual has a high equity balance and is a moderate user of credit. Their creditworthiness ranges from Sub Prime to Near Prime, and they have the lowest number of active open auto loans. Notably, they have experienced a year-over-year decrease in spending over the past three months."
7,"months, spend, over, year, prime, political, family, single",Female,25 - 34,__MISSING__,__MISSING__,Yearly Prime Spenders,A 25-34-year-old female with undisclosed religion and ethnicity resides in the household. Their net worth is under $1.
7,"months, spend, over, year, prime, political, family, single",Female,35 - 44,__MISSING__,__MISSING__,Yearly Prime Spenders,"A 35- to 44-year-old female heads this household, a college graduate and moderate credit user. With a net worth between $1,000 and $4,999, they belong to the fourth decile of wealth, have few active open auto loans, and low auto loan balances. This group is characterized by someone in the household making recent responses to mail and being established consumers."
7,"months, spend, over, year, prime, political, family, single",Female,45 - 54,__MISSING__,__MISSING__,Yearly Prime Spenders,"A single, college-educated American in their up-and-coming consumer phase resides in a household with recent credit activity. With a net worth under $1 and a wealth rating in the 8th decile, they exhibit a high number of active open auto loans, reflecting their discretionary spending habits."
7,"months, spend, over, year, prime, political, family, single",Female,55 - 64,__MISSING__,__MISSING__,Yearly Prime Spenders,"A single female-led family, aged 55-64, with a net worth of $100,000 to $249,999, actively engages in political causes. Their religious and ethnic backgrounds are unknown."
7,"months, spend, over, year, prime, political, family, single",Female,65 - 74,Protestant,Caucasian|Western European,Yearly Prime Spenders,"A 65-74 year-old Caucasian female Protestant, living in the household, regularly engages with mail communications. Her preferences and lifestyle lean towards the traditional."
7,"months, spend, over, year, prime, political, family, single",Female,65 - 74,Protestant,Western European|Caucasian,Yearly Prime Spenders,"Elderly, near-prime to prime single family unit with some college education and a responsibility for elderly parent care, actively uses credit and has a high disposable income. They hold management positions, have a wealth rating in the 5th decile, and are avid users of mobile and tablet devices, supporting various political causes."
7,"months, spend, over, year, prime, political, family, single",Female,65 - 74,__MISSING__,__MISSING__,Yearly Prime Spenders,"A single, high school educated homeowner in the USA, with a net worth between $10,000 and $24,999, falls into the Up and Coming Consumers category. This group, which includes individuals relatively new to credit, demonstrates high discretionary spending and a high equity balance. Their creditworthiness ranges from Sub Prime to Near Prime, and they hold a lien-free primary decision-making position within their household."
7,"months, spend, over, year, prime, political, family, single",Female,75+,Protestant,Caucasian|Western European,Yearly Prime Spenders,"A 75-year-old Caucasian/Western European woman, living in a single family household in the USA, identifies as Protestant, and manages a net worth under $1 with a discretionary spend of $4. She is in the first decile wealth rating and has engaged in financial transactions within the past 24 months."
7,"months, spend, over, year, prime, political, family, single",Female,75+,Protestant,Western European|Caucasian,Yearly Prime Spenders,"This high net worth household, headed by a high school-educated primary decision maker, falls into the established consumer category with a low average credit score. They have a discretionary spend of $5,000 and a net worth exceeding $500,000. Conservative political causes are among their areas of support."
7,"months, spend, over, year, prime, political, family, single",Female,75+,__MISSING__,__MISSING__,Yearly Prime Spenders,"A single, elderly head of household with a high school education and net worth between $250,000 and $499,999 supports conservative political causes. This individual, in the Near Prime to Prime - 3rd Quartile segment, has discretionary spending of $5 and the fewest active open auto loans. They are part of a wealthy demographic with a wealth rating in the 6th decile and have responded to mail within the last 24 months."
7,"months, spend, over, year, prime, political, family, single",Male,25 - 34,Protestant,Caucasian|Western European,Yearly Prime Spenders,"A 25-34 year-old Caucasian/Western European Protestant male, living in the USA, has a net worth between $25,000 and $49,999, placing him in the first decile of wealth. He engages with CONNECTED TV, MOBILE, and TABLET devices and has insurance expirations within the 3-6 month range."
7,"months, spend, over, year, prime, political, family, single",Male,25 - 34,__MISSING__,__MISSING__,Yearly Prime Spenders,"A 25-34-year-old male, of unspecified religion and ethnicity, resides in the household that has engaged in recent correspondence. This group frequently consumes fast food, with six to thirteen instances in the past month. They are politically active supporters."
7,"months, spend, over, year, prime, political, family, single",Male,35 - 44,__MISSING__,__MISSING__,Yearly Prime Spenders,"A 35-44 year-old male, of missing religion and ethnicity, resides in a household with a net worth between $100,000 and $249,999. This professional is part of the seventh decile wealth rating segment and holds few active open auto loans. Their wealth is estimated between $400,001 and $600,001. They have engaged with mail within the last 24 months and use mobile technology."
7,"months, spend, over, year, prime, political, family, single",Male,45 - 54,__MISSING__,__MISSING__,Yearly Prime Spenders,"A single, low-income American residing in a household with recent credit activity, holds a high school education, and has a net worth between $10,000 and $24,999. This individual is a new credit user with a sub-prime credit score and the lowest number of active open auto loans. Their discretionary spending is moderate."
7,"months, spend, over, year, prime, political, family, single",Male,55 - 64,__MISSING__,__MISSING__,Yearly Prime Spenders,"A 55-64 year-old Male, living in a single family household, has engaged with political causes and falls into the Sub Prime to Near Prime - 2nd Quartile credit category. Missing are details about religion and ethnicity."
7,"months, spend, over, year, prime, political, family, single",Male,65 - 74,__MISSING__,__MISSING__,Yearly Prime Spenders,"A 3rd quartile, single family household in the USA, headed by a college-educated primary decision maker with a net worth between $100,000 and $249,999 (6th decile), demonstrates a high discretionary spend level and holds the highest auto loan balance with the most active open auto loans. This group regularly consumes tea. (Age, gender, religion, and ethnicity are not provided.)"
7,"months, spend, over, year, prime, political, family, single",Male,75+,__MISSING__,__MISSING__,Yearly Prime Spenders,"A single family, headed by a college-educated elder person, manages a net worth exceeding $499,999. This household, which includes a discretionary spender, supports conservative political causes and has a high wealth rating in the 9th decile."
8,"over, year, months, spend, lowest, prime, decrease, credit",Female,25 - 34,__MISSING__,__MISSING__,Prime-Spend Decreasers,"A 25-year-old, single, low-income American resides in the Sub Prime to Near Prime demographic. New to credit, they have few active open auto loans and frequently purchase electronics. Their preferred brands include Grey Poupon, Kraft, and Heinz. Their insurance policies expire between 3 and 12 months after purchase. (USA, Sub Prime to Near Prime, Single, Low-income, Few active open auto loans, Purchases electronics, Brands: Grey Poupon, Kraft, Heinz, Insurance expiration: 3-12 months)"
8,"over, year, months, spend, lowest, prime, decrease, credit",Female,35 - 44,__MISSING__,__MISSING__,Prime-Spend Decreasers,"This group consists of a primary decision-maker, aged with the lowest credit score in the Sub Prime - 1st Quartile category. They belong to an ethnicity that identifies with Grey Poupon and Heinz brands. Their physical shopping preferences include Carrier Stores like AT&T. This demographic exhibits a decrease in year-over-year spending over three months and displays low card spending behavior."
8,"over, year, months, spend, lowest, prime, decrease, credit",Male,25 - 34,__MISSING__,__MISSING__,Prime-Spend Decreasers,"A single, tech-savvy accountant in their late 30s, holding a graduate degree and new to credit, falls into the Near Prime to Prime category with a low credit score and the highest auto loan balance. They are primary decision-makers, have completed graduate school, and possess a technical background. Despite being relatively new to credit, they have the fewest active open auto loans."
8,"over, year, months, spend, lowest, prime, decrease, credit",Male,35 - 44,__MISSING__,__MISSING__,Prime-Spend Decreasers,"This group consists of new credit users, primarily making decisions for their households. They have the lowest average credit score in the Sub Prime category and possess a minimal number of active open auto loans. Their insurance expirations are approaching, and they have experienced a decrease in year-over-year spending over the past three months."
8,"over, year, months, spend, lowest, prime, decrease, credit",Male,45 - 54,__MISSING__,__MISSING__,Prime-Spend Decreasers,"A 45-year-old retired blue-collar worker with some college education and a low credit score falls into the Single Family, Sub Prime - 1st Quartile behavioral cluster. He has the fewest active open auto loans and exhibits a year-over-year spending decrease. This group represents relatively new credit users with a low yearly spending rate."
8,"over, year, months, spend, lowest, prime, decrease, credit",Male,55 - 64,__MISSING__,__MISSING__,Prime-Spend Decreasers,"this group consists of single, US-based consumers in the Sub Prime to Near Prime credit tier, living in single family homes and actively managing multiple auto loans. They frequently use mobile and tablet devices, with insurance expirations ranging from 3 to 9 months. Their shopping preferences lean towards brands like Kraft and Heinz."
9,"family, single, regular, tea, last, political, store, etc",Female,45 - 54,__MISSING__,__MISSING__,Family-Focused Traditionals,"A 45-54 year-old single woman, deeply engaged in political causes, makes up this household. Her religious and ethnic background shapes her identity. Characterized by her commitment to supporting various political causes, she is a thoughtful and active member of her community."
9,"family, single, regular, tea, last, political, store, etc",Male,45 - 54,__MISSING__,__MISSING__,Family-Focused Traditionals,"A 45-54-year-old single male, of unknown religion and ethnicity, frequently consumes Twinings tea and eats fast food 6-13 times in a month. His political affiliation is listed as Registered Independent."
9,"family, single, regular, tea, last, political, store, etc",Male,55 - 64,__MISSING__,__MISSING__,Family-Focused Traditionals,"A 55-64-year-old male, this group comprises college-educated, middle management professionals and small business owners living in single-family residences. Their religious and ethnic backgrounds are undisclosed."
